# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
1	textures\MarioRight.png	252	188	176
2	textures\MarioLeft.png	252	188	176
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30 	textures\scene1.png	255	128	192
40 	textures\scene2.png	4	193	170
50	textures\world11.png	156	252	240
60	textures\enemies-2.png	0	128	128
70	textures\enemies-rolate.png	3	26	110
80	textures\hud.png	255	0	255
90	textures\blackBackground.png	10	10	10
100	textures\enemies-3.png	255	255	255
110	textures\enemies-3-rolate.png	255	255	255
120	textures\enemies-4.png	0	172	255
130	textures\enemies-2-rolate.png	0	128	128
140	textures\misc-button.png	166	185	255
150	textures\end-map.png	0	183	239
160	map\world14_bank.png	255	255	255
170	textures\blackBackground.png	0	0	0
180	textures\misc-button.png	166	185	255
200	textures\end-map.png	0	183	239
#ID	TRTileSet	TCTileSet	TRMap	TCMap	TotalTiles	Matrix_Path
[MAP]
160	5	11	13	160	53	map\map1-4.txt

# id	left	top	right	bottom	texture_id
[SPRITES]
# BIG MARIO 
# idle right
10001	105	42	119	69	1
# walk
10002	122	42	138	69	1		
10003	141	43	157	69	1
# sit right
10004	287	51	301	69	1
# Hold run right
10005	342	42	356	69	1
10006	359	42	374	69	1
10007	377	42	393	69	1
# Hit right
10008	396	42	417	69	1

# idle left
10011	1186	42	1200	69	2
#walk
10012	1167	42	1183	69	2
10013	1148	43	1164	69	2
# sit left
10014	1004	51	1018	69	2
# Hold run left
10015	949	42	963	69	2
10016	931	42	946	69	2
10017	912	42	928	69	2
# Hit left
10018	888	42	909	69	2
#Fall Drain
10019	323	42	339	69	1


# die 
10099	215	120	231	135	0
# SMALL MARIO
# idle small right
10021	247	0	259	15	0
# walk
10022	275	0	291	15	0
10023	306	0	320	15	0
# Hold run right
10024	246	120	260	136	0
10025	276	120	291	136	0
# Hit right
10026	425	80	441	96	0

# idle small left
10031	187	0	198	15	0
# walk
10032	155	0	170	15	0
10033	125	0	139	15	0
# Hold run left
10034	186	120	200	136	0
10035	155	120	170	136	0
# Hit left
10036	5	80	21	96	0
#Fall Drain
10037	392	17	406	33	1

#  SUPER BIG MARIO
# idle super big right
10041	105	106	126	134	1
# walk right
10042	129	106	151	134	1
10043	154	107	177	134	1
# sit right
10044	392	719	414	737	0
10045	422 	719	444	737	0
# Hold run right
10046	574	106	595	134	1
10047	598	106	620	134	1
10048	623	107	646	134	1
# Hit right
10049	649	106	670	134	1
# Fly right
10400	449	107	473	134	1
10401	476	107	500	134	1
10402	503	106	527	134	1
# Fall Right
10403	291	107	314	134	1
# Restrain right
10404	291	107	314	134	1
10405	317	107	340	134	1
10406	343	107	365	134	1
# Swing attack right
10407	244	106	260	134	1
10408	218	106	241	134	1
10409	199	106	215	134	1
10410	1064	106	1087	134	2

# idle super big left
10051	1179	106	1200	134	2
# walk	left
10052	1154	106	1176	134	2
10053	1128	107	1151	134	2
# sit left
10054	32	719	54	737	0
10055	2	719	24	737	0
# Hold run left
10056	710	106	731	134	2
10057	685	106	707	134	2
10058	659	107	682	134	2
# Hit left
10059	635	106	656	134	2
#Fly left
10500	832	107	856	134	2
10501	805	107	829	134	2
10502	778	106	802	134	2
#Fall Left
10503	991	107	1014	134	2
#Restrain Left
10504	991	107	1014	134	2
10505	965	107	988	134	2
10506	940	107	962	134	2
# Swing attack right
10507	244	106	260	134	1
10508	1064	106	1087	134	2
10509	199	106	215	134	1
10510	218	106	241	134	1
# Fall Drain
10511	199	106	215	134	1


# MARIO FIRE
# idle right
10061	150	73	164	100	1
# walk
10062	166	73	182	100	1		
10063	184	74	200	100	1
# sit right
10064	364	82	378	100	1
# Hold run right
10065	419	73	433	100	1
10066	435	73	450	100	1
10067	453	74	469	100	1
# Hit right
10068	472	73	493	100	1
# Fire right
10069	239	73	253	100	1

# idle left
10071	1141	73	1155	100	2
#walk
10072	1123	73	1139	100	2
10073	1105	74	1121	100	2
# sit left
10074	927	82	941	100	2
# Hold run left
10075	872	73	886	100	2
10076	855	73	870	100	2
10077	836	74	852	100	2
# Hit left
10078	812	73	833	100	2
# Fire left
